Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"BU_CD",FE05EC8B-3695-C4D6-8F8A-15CECD69A011,862,,5D52AB05-9BF2-53DC-A872-6CCA648A8623,796,N,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,B97033DD-6768-4C28-C04D-10017F91D243,1437,"HR_FCT_HEADCOUNT",,F,"used inv10",4,10 CHAR,,,,
"BU_CD",37E5A36B-299D-0629-59C9-2362A989E889,863,,7E474EC7-A7B8-2CE4-FDE0-51C6D166A3DB,800,Y,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,,,"HR_FO Business Unit",P,,,2,10 CHAR,,,,
"BU_CD",6FD1DD41-197A-3D6C-8D25-4854940006B7,864,,BB9B8FC0-AE76-E9FC-C361-3114F990686C,803,Y,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,CC27DE43-13C3-19BC-17DB-CF77742C758C,1405,"HR_FO Department",P,F,"host for",2,10 CHAR,,,,
"BU_CD",90A0ECDF-5F9B-6223-4839-B64DADB58AAE,865,,C26EBFD8-E44F-501C-A27F-0AE1ED4E21B8,804,Y,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,F97F2F29-E5A5-0B72-140B-FC06A2E561C7,1408,"HR_FO Division",P,F,"host forv3",1,10 CHAR,,,,
"BU_CD1",BAD3774A-F39B-2B6F-57A6-F1E4253BBA8F,866,,139DACA1-02AA-D22E-D9E4-577FB3BF890C,785,N,Domain,,,,,AFDFCA48-EFA7-877A-D929-0BF7B2CE647E,344,LOGDT024,756,,,,,,,,,Y,"ORG_BU_ID",VARCHAR,,,,,,7797D46F-4FEA-57B7-6D60-434867CC7473,1427,"HR_EMP_JOB",,F,"used_in",5,10 CHAR,,,,
"BU_CMPY_CD",D219E356-1132-DDEB-73AB-67048A0CB04F,867,,5D52AB05-9BF2-53DC-A872-6CCA648A8623,796,N,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,B97033DD-6768-4C28-C04D-10017F91D243,1437,"HR_FCT_HEADCOUNT",,F,"used inv10",3,10 CHAR,,,,
"cal type",EA1F6AF9-F2FD-9381-E620-621DAEC87D76,868,,06E7CBE5-C399-51F2-844B-B08992D12A26,766,Y,Domain,,,,,209F2CEC-13A0-FF97-2629-C1A8DEF47ABA,324,LOGDT024,756,,,,,,,,,Y,"KEY_TYPE_CAL",VARCHAR,,,,,,,,"CITD_DATE",,,,2,5 CHAR,,,,
"city",BEC1C0D1-6EE3-FC43-4315-ABB4FF2473BC,869,,F2B021C4-100E-6D64-8EA4-0745FAD94546,814,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"rehearsal location",,,,1,,,,,
"City",93A370C7-B634-E60D-68FB-DD38991EA27B,870,,DC03343D-ACCA-2BB8-52D3-73DDE2A32D8D,769,N,Domain,,,,,DOM3000004,691,LOGDT017,695,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"Geo Reference Data",,,,3,,,,,
"CMPY_CD",25D760A9-288C-25A4-F0FB-FDA8E84F2E06,871,,139DACA1-02AA-D22E-D9E4-577FB3BF890C,785,N,Domain,,,,,1C3581E2-E309-D399-AE4F-90A701B49D4B,347,LOGDT024,756,,,,,,,,,Y,"ORG_CMPY_ID",VARCHAR,,,,,,7797D46F-4FEA-57B7-6D60-434867CC7473,1427,"HR_EMP_JOB",,F,"used_in",3,10 CHAR,,,,
