Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
7FF7419B-B9B2-3198-396B-F5130C9F1360,"DG_ROLE_SEQ",55,,LOGDT011,717,3 CHAR,,,INTEGER,Integer,
8C8F157D-B1BF-35CC-50F4-9034CACADEA7,"DIM_AREA",56,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
4F054B2E-06E9-F054-DEFF-76974BE5AB33,"DIM_HEIGHT",57,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
F76779A7-82E1-66EE-9EE9-ADFA1FCE8B58,"DIM_LENGTH",58,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
67F720BA-FEC9-9E1F-1248-74A8483016AF,"DIM_VOL",59,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
820B0920-8922-7610-728B-22DF1CA4D915,"DIM_WEIGHT",60,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
A9E9659C-8A1C-BDCF-01DE-4C6A7E9825A4,"DIM_WIDTH",61,,LOGDT017,691,13 BYTE,13,2,UNKNOWN,unknown,
54B5501A-053E-11F7-E4B6-265A7078D374,"DM_BINARY_4",62,,LOGDT017,691,4,0,0,UNKNOWN,unknown,
0EBF4195-FD15-4B11-2C31-D5D1CDB9BFD1,"DM_CODE_0_DUMMY",63,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
4C5E0729-0256-580D-A13C-01B798F9E7A3,"DM_CODE_ACCOUNT",64,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
4E0A1901-36D1-A09D-7989-E97C8E584BC4,"DM_CODE_ACCOUNT_1",65,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
51A1E3DF-C7C2-5593-3F08-9BEA6FA8E11B,"DM_CODE_ACCOUNT_2",66,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
D4DE125E-FE2F-3E89-4A43-C082A115E18F,"DM_CODE_ACCOUNT_3",67,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
C2884959-9171-F0F1-EC30-7B8A80B47DD8,"DM_CODE_ACCOUNT_4",68,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
910B282E-45C2-D2FA-F5B9-3C9CCAB1EE8B,"DM_CODE_ACCOUNT_5",69,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
67EF0AB0-603D-A01B-8E4D-24414FE7AE3A,"DM_CODE_ATA",70,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
CBA17299-5B63-9CEE-259E-EC46E9E26200,"DM_CODE_BASE",71,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
96E992F0-1636-70F3-AD4D-1ACC46242D21,"DM_CODE_CHANNEL",72,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
6C9FE5AC-5CD5-B8AE-DC39-AB7101FC1CD1,"DM_CODE_CHARGE",73,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
357133B4-DC33-29F9-F13E-99C69716BAE4,"DM_CODE_COUNTRY_ISO3166",74,,LOGDT024,752,2 CHAR,,,VARCHAR,VARCHAR,
1875826B-2460-FB23-EF88-55599A72256B,"DM_CODE_COUNTRY_ISO3166_A3",75,,LOGDT024,752,3 CHAR,,,VARCHAR,VARCHAR,
CB53557D-0EC2-7A19-1CB6-59AC3598E062,"DM_CODE_COUNTRY_ISO3166_ID",76,,LOGDT019,724,5 CHAR,,,NUMERIC,NUMERIC,
F80407FF-2F6B-D7CC-BFB7-8227243E0A53,"DM_CODE_COUNTRY_UNDP",77,,LOGDT024,752,50 CHAR,,,VARCHAR,VARCHAR,
77424626-AEC1-917A-4A92-C7E3F8C5B7F8,"DM_CODE_CREDIT_SCORE",78,,LOGDT017,691,5 CHAR,,,UNKNOWN,unknown,
B0065697-C172-792C-99A7-F23CB55ECF07,"DM_CODE_CURRENCY_ISO4217",79,"Currency Code ISO 4217",LOGDT024,752,10 CHAR,,,VARCHAR,VARCHAR,
3EB81B2A-A812-1068-8AA3-81ED1F5BD842,"DM_CODE_CURRENCY_ISO4217_ID",80,,LOGDT019,724,10 CHAR,,,NUMERIC,NUMERIC,
988E0E90-DA76-0A8E-F9ED-9021E0F3AFFF,"DM_CODE_CURRENCY_ISO4217_NAME",81,,LOGDT024,752,40 CHAR,,,VARCHAR,VARCHAR,
64CFAB3A-B780-A566-0B8F-8441CE734AE2,"DM_CODE_DEPOT",82,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
E9CAA89F-B64F-5B87-CDB3-BAB0061B2B79,"DM_CODE_FEEDER",83,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
0109FC7A-3579-51D5-413F-134DBD01885E,"DM_CODE_GROUP_BILL",84,,LOGDT017,691,1 CHAR,,,UNKNOWN,unknown,
CD193003-6627-D3EC-A895-2CB534C7625A,"DM_CODE_HON",85,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
E1AF0D82-50C7-1EA1-1B67-014DABA649BF,"DM_CODE_INSPECTION",86,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
53E709D6-C27F-BF9A-9FFE-6EC7CC756850,"DM_CODE_INTERVALL",87,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
4F919ECF-0DBA-C0E6-461D-BA0F9C6B7ABA,"DM_CODE_ITEM",88,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
DFEB8E1E-C76B-167A-3994-BA6029E500D2,"DM_CODE_MANUFACURER",89,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
F92A45EE-B332-63EE-3AB8-F6BFE8416FDD,"DM_CODE_MARKET",90,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
6A86F782-21AF-E099-648E-B9BD600084DD,"DM_CODE_NEXT_ASSEMBLY",91,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
467542FB-EC2B-C095-9C09-B8E4E622CEDD,"DM_CODE_PAYMENT_METHOD",92,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
71BE8E92-6AB1-E203-6F09-7266AA2D0CEC,"DM_CODE_PAYMENT_TERMS",93,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
81896C3D-26EC-A118-796D-2D6ED67CF014,"DM_CODE_PRIORITY",94,,LOGDT017,691,20 CHAR,,,UNKNOWN,unknown,
0811DEC8-2CD7-BB6F-0E1F-33933E1DFA1E,"DM_CODE_ROUTE",95,,LOGDT017,691,10 CHAR,,,UNKNOWN,unknown,
