Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
COUNTRY_ISO4217_CURRENCY,N,44,N,CURRENCY_ISO_4217,VARCHAR,HR_FO_COUNTRY,,,5,3,,,
COUNTRY_NAME,N,5,N,ADDR_COUNTRY_NAME,VARCHAR,HR_FO_COUNTRY,,,4,80,,,
date,Y,297,Y,KEY_DATE_YYYYMMDD,Date,CITD_DATE,P,,1,8,,,
DATE_ENDED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_HEADCOUNT,P,F,18,8,,,
DATE_ENDED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_PROMO,P,F,13,8,,,
DATE_ENDED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_IN_OUT,P,F,8,8,,,
date_num,Y,291,Y,KEY_DATE_NUM,Integer,CITD_DATE,,,3,3,,,
DATE_STARTED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_HEADCOUNT,P,F,17,8,,,
DATE_STARTED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_PROMO,P,F,11,8,,,
DATE_STARTED,Y,297,Y,KEY_DATE_YYYYMMDD,Date,HR_FCT_IN_OUT,P,F,7,8,,,
date day month,Y,286,Y,KEY_DATE_DAY,VARCHAR,CITD_DATE,,,19,2,,,
date day month year,Y,286,Y,KEY_DATE_DAY,VARCHAR,CITD_DATE,,,18,2,,,
date dow,Y,287,Y,KEY_DATE_DOW,Integer,CITD_DATE,,,16,1,,,
date dow name,Y,287,Y,KEY_DATE_DOW,Integer,CITD_DATE,,,17,1,,,
date mm,Y,290,Y,KEY_DATE_MONTH,Integer,CITD_DATE,,,10,2,,,
date mm_ name,Y,290,Y,KEY_DATE_MONTH,Integer,CITD_DATE,,,11,2,,,
date mm_ name abbr,Y,290,Y,KEY_DATE_MONTH,Integer,CITD_DATE,,,12,2,,,
date mm begin,Y,287,N,KEY_DATE_DOW,Integer,CITD_DATE,,,13,1,,,
date mm end,Y,287,N,KEY_DATE_DOW,Integer,CITD_DATE,,,14,1,,,
date qq,Y,292,Y,KEY_DATE_QUARTER,VARCHAR,CITD_DATE,,,7,2,,,
date qq begin,Y,691,N,,Date,CITD_DATE,,,8,,,,
date qq end,Y,691,N,,Date,CITD_DATE,,,9,,,,
Dates,N,691,Y,Unknown,unknown,Employment,,,1,,,,
date ww,Y,295,Y,KEY_DATE_WEEK,Integer,CITD_DATE,,,15,2,,,
date yyyy,Y,296,Y,KEY_DATE_YYYY,Integer,CITD_DATE,,,4,4,,,
date yyyy begin dow,Y,287,Y,KEY_DATE_DOW,Integer,CITD_DATE,,,5,1,,,
date yyyy end dow,Y,287,Y,KEY_DATE_DOW,Integer,CITD_DATE,,,6,1,,,
DEPT_BU_CD,N,344,Y,ORG_BU_ID,VARCHAR,HR_FCT_HEADCOUNT,,F,5,10,,,
DEPT_CD,N,354,Y,ORG_DPT_ID,VARCHAR,HR_EMP_JOB,,F,6,10,,,
DEPT_CD,N,354,Y,ORG_DPT_ID,VARCHAR,HR_FCT_HEADCOUNT,,F,6,10,,,
DEPT_CD,Y,354,Y,ORG_DPT_ID,VARCHAR,HR_FO_DEPARTMENT,P,,3,10,,,
DEPT_CD,N,354,Y,ORG_DPT_ID,VARCHAR,HR_FO_DIVISION,,F,2,10,,,
DIV_CD,Y,350,Y,ORG_DIV_ID,VARCHAR,HR_FO_DIVISION,P,,3,10,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EVENT,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_JOB,,,19,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_WORK,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_ACC_TRANSIT,,,2,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COMPANY,,,5,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP,,,15,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_INFO_HISTORY,,,2,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holidays,,,1,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_MGR,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EVENT_REASON,,,5,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_PERSONAL_HISTORY,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_BUSINESS_UNIT,,,5,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_PERSONAL,,,12,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_GENDER,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_time,,,2,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_CLASS,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holiday_Calendar,,,1,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COST_CENTER,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_BANK_INFO,,,4,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_STATUS,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_DEPARTMENT,,,6,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_POSITION,,,12,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_DIVISION,,,6,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_FO_COUNTRY,,,7,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_Holiday_Assignment,,,1,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_TYPE,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_Job_Code,,,12,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_EMPLOYMENT,,,15,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_ADDR_PERSONAL,,,3,18,,,
dt_cre_at,N,298,Y,KEY_DATE_YYYYMMDDHHMM,Timestamp,HR_EMP_PERSONAL_HISTORY,,,11,18,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_EVENT,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_JOB,,,20,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_ADDR_WORK,,,4,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_EMP_BANK_ACC_TRANSIT,,,3,20,,,
dt_cre_by,N,284,Y,KEY_CREATED_BY,VARCHAR,HR_FO_COMPANY,,,6,20,,,
